Postcode,yearly_median_weekly_rent,yearly_first_quartile_weekly_rent,yearly_third_quartile_weekly_rent,yearly_median_sales_price_000s,yearly_first_quartile_sales_000s,yearly_third_quartile_sales_000s
2000,900.0,93.0,3812.0,1300.0,870.0,2544.0
2007,550.0,439.0,1650.0,760.0,170.0,1049.0
2008,779.0,325.0,1588.0,867.5,603.0,1264.0
2009,930.5,645.0,1850.0,1145.0,753.0,1888.0
2010,886.5,400.0,1900.0,1137.5,790.0,1815.0
2011,689.0,425.0,2100.0,1041.5,603.0,1950.0
2015,866.5,645.0,1963.0,1138.0,745.0,1885.0
2016,749.0,215.0,1630.0,1370.0,815.0,2209.0
2017,1035.0,443.0,1813.0,975.0,758.0,1201.0
2018,952.5,694.0,1800.0,927.5,729.0,1403.0
2019,850.0,430.0,1300.0,967.5,756.0,1660.0
2020,980.0,659.0,1798.0,867.5,226.0,1108.0
2021,870.0,381.0,2400.0,2272.5,1044.0,3700.0
2022,1075.0,450.0,2500.0,1539.0,904.0,2713.0
2023,920.0,600.0,3188.0,1901.5,1120.0,5225.0
2024,1000.0,550.0,3750.0,2087.5,1365.0,4850.0
2025,950.0,605.0,3500.0,1977.5,1100.0,3950.0
2026,1000.0,330.0,3138.0,1743.0,1245.0,3505.0
2027,1031.5,485.0,2654.0,2394.0,950.0,4000.0
2028,965.0,518.0,2500.0,2067.5,1364.0,10300.0
2029,900.0,650.0,3000.0,2427.5,1306.0,6250.0
2030,1100.0,519.0,4700.0,2196.5,1293.0,7125.0
2031,873.0,376.0,2900.0,1414.0,1016.0,2810.0
2032,825.0,400.0,1950.0,1076.0,753.0,2550.0
2033,847.0,400.0,2288.0,1107.5,720.0,3925.0
2034,950.0,650.0,2863.0,1700.0,1245.0,3094.0
2035,877.5,400.0,2225.0,1462.5,962.0,2910.0
2036,1025.0,750.0,1943.0,1269.5,860.0,2550.0
2037,780.0,238.0,2188.0,1384.0,800.0,2170.0
2038,759.0,385.0,1525.0,1955.0,906.0,2570.0
2039,900.0,499.0,1795.0,1930.0,1450.0,2750.0
2040,850.0,353.0,1700.0,1760.0,1168.0,2304.0
2041,860.0,406.0,2275.0,2250.0,1523.0,3025.0
2042,755.0,315.0,1613.0,1534.0,745.0,2020.0
2043,865.0,650.0,1415.0,1252.0,850.0,1720.0
2044,850.0,450.0,1470.0,1600.0,1100.0,1953.0
2045,875.0,538.0,1250.0,2700.0,1515.0,4088.0
2046,800.0,499.0,1935.0,1676.0,1100.0,2820.0
2047,805.0,525.0,1738.0,1689.5,1075.0,2618.0
2048,700.0,431.0,1588.0,1896.5,892.0,2495.0
2049,685.0,350.0,1236.0,1040.0,750.0,1995.0
2050,800.0,514.0,2000.0,919.5,773.0,1600.0
2060,800.0,479.0,1725.0,1492.5,945.0,2573.0
2061,850.0,500.0,1925.0,2104.0,1346.0,3653.0
2062,785.0,535.0,1306.0,1416.0,900.0,2600.0
2063,900.0,643.0,3150.0,4852.5,2800.0,6350.0
2064,740.5,450.0,1163.0,1161.5,954.0,2309.0
2065,874.0,495.0,1900.0,1296.0,852.0,2350.0
2066,745.0,570.0,1988.0,1024.5,790.0,2555.0
2067,825.0,420.0,1750.0,1341.5,908.0,2740.0
2068,890.0,435.0,2425.0,2589.0,1315.0,4000.0
2069,860.0,466.0,2238.0,2945.0,978.0,4345.0
2070,871.5,455.0,2200.0,3075.5,1066.0,4385.0
2071,850.0,565.0,2200.0,2075.0,1102.0,4035.0
2072,800.0,598.0,1775.0,1044.5,765.0,3175.0
2073,850.0,535.0,1813.0,2889.5,1199.0,3815.0
2074,925.0,545.0,1800.0,2510.0,1075.0,3299.0
2075,1000.0,575.0,1825.0,2417.5,934.0,3463.0
2076,900.0,490.0,1675.0,2190.0,1450.0,3155.0
2077,650.0,485.0,1200.0,752.5,662.0,1254.0
2079,680.0,513.0,1075.0,1418.0,630.0,1709.0
2080,,,,,,
2081,780.0,570.0,1000.0,1675.0,1450.0,1874.0
2082,850.0,580.0,1038.0,1520.0,1383.0,1614.0
2083,625.0,456.0,700.0,,,
2084,,,,,,
2085,1472.5,1018.0,1808.0,2270.0,1050.0,2660.0
2086,1100.0,451.0,1800.0,2309.0,2065.0,2598.0
2087,1050.0,370.0,1791.0,2374.0,2008.0,2853.0
2088,815.0,528.0,3800.0,1885.5,1032.0,4740.0
2089,772.5,530.0,1550.0,1375.0,816.0,2250.0
2090,850.0,520.0,2250.0,1485.0,950.0,2438.0
2092,1633.0,913.0,2813.0,3410.0,2565.0,5205.0
2093,825.0,550.0,2600.0,2270.0,1085.0,3650.0
2094,900.0,580.0,2000.0,1945.0,1080.0,3630.0
2095,1000.0,600.0,3313.0,1900.0,1200.0,3270.0
2096,850.0,568.0,3300.0,1399.0,1093.0,3220.0
2097,825.0,523.0,2375.0,2204.5,1190.0,3100.0
2099,777.5,521.0,2075.0,1142.0,820.0,2144.0
2100,800.0,485.0,1775.0,2174.5,1050.0,2643.0
2101,800.0,520.0,1850.0,1882.5,1178.0,2550.0
2102,1050.0,798.0,1550.0,1857.5,1300.0,2583.0
2103,872.5,690.0,1800.0,2150.0,1151.0,2563.0
2104,1200.0,700.0,1600.0,,,
2105,663.0,568.0,1075.0,,,
2106,816.5,468.0,1750.0,2051.5,970.0,2875.0
2107,1145.0,485.0,1913.0,2562.5,2106.0,3850.0
2108,1181.5,694.0,1525.0,4850.0,2225.0,7200.0
2110,863.0,515.0,2225.0,3725.0,1555.0,6140.0
2111,695.0,474.0,2725.0,1073.0,693.0,2698.0
2112,737.5,550.0,1688.0,855.0,613.0,2380.0
2113,849.0,625.0,1600.0,995.0,775.0,1990.0
2114,645.0,430.0,1420.0,815.5,590.0,1933.0
2115,730.0,440.0,1263.0,1645.0,732.0,2097.0
2116,650.0,288.0,1200.0,1621.5,749.0,1889.0
2117,700.0,300.0,1200.0,1491.5,788.0,1918.0
2118,700.0,495.0,1100.0,810.0,661.0,2105.0
2119,840.0,558.0,1335.0,2379.0,1689.0,3250.0
2120,712.5,320.0,1295.0,1795.5,792.0,2278.0
2121,750.0,588.0,1313.0,875.0,730.0,2265.0
2122,700.0,360.0,1400.0,1692.5,928.0,2640.0
2125,858.0,226.0,1550.0,2634.0,2136.0,3259.0
2126,987.5,750.0,1250.0,2280.0,1858.0,2600.0
2127,780.0,620.0,1313.0,766.5,640.0,880.0
2128,580.0,370.0,738.0,702.0,575.0,1232.0
2130,688.0,440.0,1213.0,1175.0,835.0,2638.0
2131,650.0,430.0,1375.0,886.5,723.0,1365.0
2132,700.0,300.0,1528.0,1900.0,741.0,2669.0
2133,600.0,478.0,943.0,1250.0,701.0,2298.0
2134,800.0,316.0,1500.0,999.5,742.0,1364.0
2135,740.0,335.0,1775.0,865.0,654.0,3703.0
2136,677.5,329.0,935.0,850.5,630.0,2287.0
2137,780.0,510.0,1738.0,1443.0,840.0,2563.0
2138,860.0,305.0,1750.0,1009.5,780.0,1455.0
2140,680.0,530.0,905.0,656.0,570.0,770.0
2141,755.0,563.0,1250.0,862.0,669.0,1363.0
2142,620.0,350.0,950.0,579.5,482.0,899.0
2143,650.0,470.0,1325.0,1222.5,580.0,1550.0
2144,650.0,365.0,1100.0,632.0,511.0,1200.0
2145,632.5,437.0,1000.0,765.5,570.0,1310.0
2146,625.0,321.0,938.0,840.5,515.0,1312.0
2147,589.0,344.0,900.0,1150.0,905.0,1431.0
2148,582.5,280.0,850.0,874.5,522.0,1140.0
2150,650.0,370.0,1125.0,623.0,520.0,734.0
2151,593.0,350.0,1000.0,822.5,582.0,1795.0
2152,600.0,376.0,818.0,841.5,528.0,1689.0
2153,750.0,480.0,1100.0,1593.0,1001.0,1978.0
2154,760.0,550.0,1250.0,1528.5,907.0,2620.0
2155,740.0,505.0,1000.0,1480.0,724.0,1845.0
2156,973.0,500.0,1400.0,2772.5,2234.0,3738.0
2157,715.0,513.0,893.0,3800.0,2975.0,4163.0
2158,875.0,650.0,1238.0,1913.0,690.0,2855.0
2159,700.0,525.0,975.0,3038.0,1790.0,4175.0
2160,620.0,436.0,1150.0,686.5,500.0,1963.0
2161,565.0,345.0,1100.0,988.0,466.0,1259.0
2162,665.0,288.0,1050.0,1196.5,910.0,1379.0
2163,465.0,315.0,750.0,864.5,471.0,1105.0
2164,650.0,300.0,1050.0,1148.5,916.0,1452.0
2165,550.0,298.0,973.0,986.5,509.0,1258.0
2166,500.0,238.0,1000.0,912.5,430.0,1330.0
2167,650.0,450.0,860.0,925.5,790.0,1182.0
2168,600.0,420.0,850.0,924.0,788.0,1100.0
2170,582.5,340.0,973.0,670.5,489.0,1200.0
2171,730.0,450.0,855.0,1144.5,942.0,1373.0
2172,,,,,,
2173,725.0,600.0,950.0,1186.5,1005.0,1352.0
2174,720.0,355.0,900.0,1071.5,688.0,1325.0
2175,,,,,,
2176,685.0,473.0,960.0,1273.0,1049.0,1460.0
2177,600.0,480.0,850.0,1072.5,683.0,1346.0
2178,662.5,515.0,1078.0,,,
2179,692.5,388.0,850.0,921.0,610.0,1150.0
2190,705.0,220.0,1300.0,1327.5,1000.0,1536.0
2191,750.0,561.0,925.0,1741.0,892.0,2356.0
2192,590.0,360.0,1350.0,726.0,569.0,1803.0
2193,695.0,540.0,1150.0,805.0,620.0,2063.0
2194,580.0,328.0,1213.0,672.5,553.0,780.0
2195,522.5,380.0,1100.0,461.5,415.0,615.0
2196,608.0,360.0,1263.0,1050.0,535.0,1480.0
2197,775.0,580.0,1175.0,1249.0,1010.0,1423.0
2198,825.0,650.0,1200.0,1330.0,1136.0,1475.0
2199,650.0,225.0,1200.0,1101.5,552.0,1423.0
2200,605.0,360.0,1196.0,616.0,510.0,1280.0
2203,670.0,453.0,1496.0,987.0,795.0,1825.0
2204,698.0,373.0,1558.0,1331.5,855.0,2100.0
2205,850.0,650.0,1500.0,793.5,680.0,945.0
2206,811.5,393.0,1700.0,1993.0,1468.0,2487.0
2207,727.5,185.0,1475.0,1328.5,660.0,1943.0
2208,825.0,520.0,1375.0,1796.5,1300.0,2103.0
2209,665.0,350.0,1200.0,1385.0,699.0,1762.0
2210,689.0,390.0,1200.0,1365.5,766.0,1744.0
2211,750.0,500.0,1263.0,1451.5,1150.0,1729.0
2212,750.0,500.0,1250.0,1434.0,1095.0,1642.0
2213,792.5,530.0,1150.0,1478.0,1288.0,1685.0
2214,810.0,605.0,925.0,1292.5,1180.0,1448.0
2216,692.5,430.0,1400.0,785.5,650.0,1623.0
2217,700.0,445.0,1520.0,800.0,665.0,1350.0
2218,650.0,340.0,900.0,820.0,678.0,1550.0
2219,712.5,485.0,1700.0,1080.0,745.0,1990.0
2220,730.0,510.0,1450.0,791.0,644.0,1498.0
2221,811.5,600.0,1754.0,1775.0,799.0,2600.0
2222,588.0,400.0,1300.0,776.0,636.0,1843.0
2223,650.0,405.0,1500.0,1410.0,715.0,2279.0
2224,880.0,550.0,1563.0,1680.5,1100.0,2189.0
