Postcode,Suburbs
2000,"BARANGAROO, DAWES POINT, HAYMARKET, MILLERS POINT, SYDNEY, THE ROCKS"
2007,ULTIMO
2008,"CHIPPENDALE, DARLINGTON"
2009,PYRMONT
2010,"DARLINGHURST, SURRY HILLS"
2011,"ELIZABETH BAY, POTTS POINT, RUSHCUTTERS BAY, WOOLLOOMOOLOO"
2015,"ALEXANDRIA, BEACONSFIELD, EVELEIGH, MASCOT"
2016,REDFERN
2017,"WATERLOO, ZETLAND"
2018,"EASTLAKES, ROSEBERY"
2019,"BANKSMEADOW, BOTANY, BOTANY BAY"
2020,"BOTANY BAY, MASCOT"
2021,"CENTENNIAL PARK, EDGECLIFF, KENSINGTON, MOORE PARK, PADDINGTON, REDFERN, SURRY HILLS, WATERLOO"
2022,"BONDI, BONDI JUNCTION, QUEENS PARK"
2023,"BELLEVUE HILL, DOUBLE BAY, ROSE BAY"
2024,"BRONTE, TAMARAMA, WAVERLEY"
2025,WOOLLAHRA
2026,"BONDI, BONDI BEACH, BRONTE, DOVER HEIGHTS, NORTH BONDI, ROSE BAY, TAMARAMA"
2027,"DARLING POINT, DOUBLE BAY, EDGECLIFF, POINT PIPER, WOOLLAHRA"
2028,"DOUBLE BAY, EDGECLIFF, WOOLLAHRA"
2029,"BELLEVUE HILL, DOVER HEIGHTS, ROSE BAY"
2030,"DOVER HEIGHTS, NORTH BONDI, ROSE BAY, VAUCLUSE, WATSONS BAY"
2031,"CLOVELLY, RANDWICK"
2032,"DACEYVILLE, KENSINGTON, KINGSFORD"
2033,"KENSINGTON, KINGSFORD, MOORE PARK"
2034,"COOGEE, SOUTH COOGEE"
2035,"MAROUBRA, PAGEWOOD"
2036,"BOTANY BAY, CHIFLEY, EASTGARDENS, HILLSDALE, LA PEROUSE, LITTLE BAY, MALABAR, MATRAVILLE, PHILLIP BAY, PORT BOTANY"
2037,"FOREST LODGE, GLEBE"
2038,ANNANDALE
2039,"LILYFIELD, ROZELLE"
2040,"LEICHHARDT, LILYFIELD"
2041,"BALMAIN, BALMAIN EAST, BIRCHGROVE, ROZELLE"
2042,"CAMPERDOWN, ENMORE, MARRICKVILLE, NEWTOWN, STANMORE"
2043,"ALEXANDRIA, ERSKINEVILLE"
2044,"ST PETERS, SYDENHAM, TEMPE"
2045,HABERFIELD
2046,"ABBOTSFORD, CANADA BAY, CHISWICK, CONCORD, FIVE DOCK, HABERFIELD, RODD POINT, RUSSELL LEA, WAREEMBA"
2047,DRUMMOYNE
2048,"CAMPERDOWN, ENMORE, PETERSHAM, STANMORE"
2049,"DULWICH HILL, LEWISHAM, MARRICKVILLE, PETERSHAM, STANMORE"
2050,"CAMPERDOWN, NEWTOWN, STANMORE"
2060,"CAMMERAY, CROWS NEST, KIRRIBILLI, LAVENDER BAY, MCMAHONS POINT, NEUTRAL BAY, NORTH SYDNEY, WAVERTON"
2061,"KIRRIBILLI, LAVENDER BAY, MILSONS POINT, NORTH SYDNEY"
2062,"CAMMERAY, CREMORNE, CROWS NEST, NORTH SYDNEY"
2063,"MIDDLE HARBOUR, NORTHBRIDGE"
2064,ARTARMON
2065,"CROWS NEST, GREENWICH, NAREMBURN, ST LEONARDS, WAVERTON, WOLLSTONECRAFT"
2066,"LANE COVE, LANE COVE NORTH, LANE COVE WEST, LINLEY POINT, LONGUEVILLE, NORTHWOOD, RIVERVIEW"
2067,"CHATSWOOD, CHATSWOOD WEST, LANE COVE NORTH, NORTH WILLOUGHBY, WILLOUGHBY"
2068,"CASTLECRAG, CHATSWOOD, MIDDLE COVE, MIDDLE HARBOUR, NORTH WILLOUGHBY, WILLOUGHBY, WILLOUGHBY EAST"
2069,"CASTLE COVE, LINDFIELD, MIDDLE HARBOUR, ROSEVILLE, ROSEVILLE CHASE"
2070,"EAST LINDFIELD, KILLARA, LINDFIELD, MIDDLE HARBOUR"
2071,"EAST KILLARA, KILLARA, LINDFIELD, MIDDLE HARBOUR"
2072,"GORDON, KILLARA"
2073,"GORDON, PYMBLE, SOUTH TURRAMURRA, TURRAMURRA, WEST PYMBLE"
2074,"NORTH TURRAMURRA, PYMBLE, SOUTH TURRAMURRA, TURRAMURRA, WARRAWEE"
2075,"KU-RING-GAI CHASE, PYMBLE, ST IVES, ST IVES CHASE"
2076,"HORNSBY, NORMANHURST, NORTH WAHROONGA, THORNLEIGH, WAHROONGA"
2077,"ASQUITH, HORNSBY, HORNSBY HEIGHTS, MOUNT COLAH, WAHROONGA, WAITARA"
2079,MOUNT COLAH
2080,MOUNT KURING-GAI
2081,"BEROWRA, COWAN"
2082,"BEROWRA HEIGHTS, BEROWRA WATERS"
2083,"BAR POINT, BROOKLYN, CHEERO POINT, COGRA BAY, DANGAR ISLAND, MILSONS PASSAGE, MOONEY MOONEY"
2084,"BELROSE, CHURCH POINT, COTTAGE POINT, CURRAWONG BEACH, DUFFYS FOREST, KU-RING-GAI CHASE, LOVETT BAY, MORNING BAY, MOUNT COLAH, ST IVES, ST IVES CHASE, TERREY HILLS"
2085,"BELROSE, DAVIDSON, FRENCHS FOREST"
2086,"BEACON HILL, DAVIDSON, FORESTVILLE, FRENCHS FOREST"
2087,"EAST LINDFIELD, FORESTVILLE, KILLARNEY HEIGHTS, MIDDLE HARBOUR, ROSEVILLE CHASE"
2088,"MIDDLE HARBOUR, MOSMAN, NORTH HARBOUR"
2089,"KURRABA POINT, NEUTRAL BAY"
2090,"CREMORNE, CREMORNE POINT, KURRABA POINT, NEUTRAL BAY"
2092,"MIDDLE HARBOUR, SEAFORTH"
2093,"BALGOWLAH, BALGOWLAH HEIGHTS, CLONTARF, FAIRLIGHT, MANLY VALE, MIDDLE HARBOUR, NORTH BALGOWLAH, NORTH HARBOUR"
2094,"FAIRLIGHT, MANLY, NORTH HARBOUR"
2095,"FAIRLIGHT, MANLY, NORTH HARBOUR"
2096,"CURL CURL, FRESHWATER, NORTH MANLY, QUEENSCLIFF"
2097,"COLLAROY, COLLAROY PLATEAU, DEE WHY, WHEELER HEIGHTS"
2099,"BEACON HILL, BROOKVALE, COLLAROY, COLLAROY PLATEAU, CROMER, DEE WHY, NARRAWEENA, NORTH CURL CURL, OXFORD FALLS, WHEELER HEIGHTS"
2100,"ALLAMBIE HEIGHTS, BEACON HILL, BROOKVALE, FRENCHS FOREST, FRESHWATER, NORTH MANLY, OXFORD FALLS"
2101,"BAYVIEW, COLLAROY PLATEAU, ELANORA HEIGHTS, INGLESIDE, NARRABEEN, NORTH NARRABEEN, WHEELER HEIGHTS"
2102,"INGLESIDE, MONA VALE, NORTH NARRABEEN, WARRIEWOOD"
2103,"BAYVIEW, MONA VALE, WARRIEWOOD"
2104,"BAYVIEW, CHURCH POINT, MONA VALE"
2105,"BAYVIEW, CHURCH POINT, ELVINA BAY, LOVETT BAY, MCCARRS CREEK, MORNING BAY, PITTWATER, SCOTLAND ISLAND"
2106,"MONA VALE, NEWPORT"
2107,"AVALON BEACH, BILGOLA BEACH, BILGOLA PLATEAU, CLAREVILLE, NEWPORT, WHALE BEACH"
2108,"COASTERS RETREAT, GREAT MACKEREL BEACH, PALM BEACH, WHALE BEACH"
2110,"GLADESVILLE, HUNTERS HILL, WOOLWICH"
2111,"GLADESVILLE, HENLEY, HUNTLEYS COVE, HUNTLEYS POINT, TENNYSON POINT"
2112,"DENISTONE EAST, NORTH RYDE, PUTNEY, RYDE"
2113,"EAST RYDE, MACQUARIE PARK, NORTH RYDE, RYDE"
2114,"DENISTONE, DENISTONE WEST, EASTWOOD, MEADOWBANK, MELROSE PARK, RYDE, WEST RYDE"
2115,"DUNDAS, ERMINGTON, RYDALMERE"
2116,"DUNDAS, RYDALMERE"
2117,"CARLINGFORD, DUNDAS, DUNDAS VALLEY, OATLANDS, RYDALMERE, TELOPEA"
2118,"CARLINGFORD, DUNDAS VALLEY, EASTWOOD, EPPING, TELOPEA"
